source_group,relative_path,filename,extension,size_bytes,sha256,archive_valid,archive_type,modid,mod_name,mod_version,mc_version,forge_dependency,main_class,coremod_status,coremod_class,access_transformer,class_count,primary_packages,asset_namespaces,nested_jars,origin,series_origin_status,audit_priority,notes
original_mods,original_mods/Armourers-Workshop-1.7.10-0.48.1.jar,Armourers-Workshop-1.7.10-0.48.1.jar,.jar,1961302,ae35e3052b95fb99385e702ab24113aa675b3b1e2ce52b82e1a17e308fb8e527,VALID,JAR,armourersWorkshop,Armourer's Workshop,1.7.10-0.48.1,1.7.10,,,NO,,,657,riskyken.armourersWorkshop;riskyken.armourersWorkshop.common;riskyken.armourersWorkshop.client;riskyken.armourersWorkshop.client.gui;riskyken.armourersWorkshop.common.skin;riskyken.armourersWorkshop.common.network;riskyken.armourersWorkshop.client.render;riskyken.armourersWorkshop.api;riskyken.armourersWorkshop.common.addons;riskyken.armourersWorkshop.common.items;riskyken.armourersWorkshop.api.common;riskyken.armourersWorkshop.client.model,armourersworkshop,,MODPACK_REFERENCE,UNKNOWN,P2,
original_mods,original_mods/AsieLib-1.7.10.zip,AsieLib-1.7.10.zip,.zip,110224,0cd74b76b7744e3fe1ea2cabc5940466b114e107aab1987313a99c7072f65275,VALID,ZIP,asielib,asielib,0.2.3,1.7.2,,,YES,pl.asie.lib.core.AsieLibCoremod,asielib_at.cfg,69,pl.asie;pl.asie.lib;pl.asie.lib.util;pl.asie.lib.block;pl.asie.lib.chat;pl.asie.lib.cable;pl.asie.lib.shinonome;pl.asie.lib.network;pl.asie.lib.api;pl.asie.lib.core;pl.asie.lib.tweak;pl.asie.lib.audio,asielib,,MODPACK_REFERENCE,UNKNOWN,P1,archive_contents=documentation; PRIORITY_AUDIT_REASON=coremod/transformer indicator
original_mods,original_mods/BabyMobs-1.7.10-1.3.jar,BabyMobs-1.7.10-1.3.jar,.jar,361805,2ed7d73d2fd014555a77b5496989f0fbfef1b978c65af1effe29cc8f9db7ebb6,VALID,JAR,babymobs,Baby Mobs,1.3,1.7.10,,,NO,,,105,furgl.babyMobs;furgl.babyMobs.common;furgl.babyMobs.client;furgl.babyMobs.common.entity;furgl.babyMobs.client.renderer;furgl.babyMobs.client.model;furgl.babyMobs.common.event;furgl.babyMobs.common.item;furgl.babyMobs.client.particle;furgl.babyMobs.client.gui;furgl.babyMobs.common.block;furgl.babyMobs.util,babymobs,,MODPACK_REFERENCE,UNKNOWN,P1,PRIORITY_AUDIT_REASON=filename/metadata suggests gameplay audit
original_mods,original_mods/BetterFoliage-mc1.7-1.0.13 (1).jar,BetterFoliage-mc1.7-1.0.13 (1).jar,.jar,363265,4ce133244155fbe77b8115ba1467e188cc99a1f304a02aba0b58b6a68367ccf2,VALID,JAR,BetterFoliage,Better Foliage,1.0.13,1.7.2,,,YES,mods.betterfoliage.loader.impl.BetterFoliageLoader,,87,mods.betterfoliage;mods.betterfoliage.client;mods.betterfoliage.client.render;mods.betterfoliage.loader;mods.betterfoliage.client.texture;mods.betterfoliage.client.util;mods.betterfoliage.loader.impl;mods.betterfoliage.client.gui;mods.betterfoliage.client.misc;mods.betterfoliage.client.integration;mods.betterfoliage.common;mods.betterfoliage.common.config,betterfoliage;bettergrassandleaves,,MODPACK_REFERENCE,UNKNOWN,P1,archive_contents=mods; PRIORITY_AUDIT_REASON=coremod/transformer indicator
original_mods,original_mods/Chisel-2.9.5.11.jar,Chisel-2.9.5.11.jar,.jar,6378920,68c8a4f4c7785f939d8fa2e7df56c76afa37dfd2574f738a07d3dfd80d6257a6,VALID,JAR,,,,,,,NO,,META-INF/chisel_compile_at.cfg,337,team.chisel;team.chisel.block;team.chisel.client;com.cricketcraft;com.cricketcraft.chisel;com.cricketcraft.chisel.api;team.chisel.client.render;team.chisel.item;team.chisel.ctmlib;team.chisel.network;team.chisel.item.chisel;team.chisel.network.message,chisel,,MODPACK_REFERENCE,UNKNOWN,P1,archive_contents=documentation; mcmod.info: invalid mcmod.info JSON; PRIORITY_AUDIT_REASON=metadata incomplete
original_mods,original_mods/CodeChickenCore-1.7.10-1.0.7.47-universal.jar,CodeChickenCore-1.7.10-1.0.7.47-universal.jar,.jar,145782,3d1527c54e84dc8ae2f7d1109e646420e82bd3b09a811641f1f9a810c46c5f93,VALID,JAR,,,,,,,YES,codechicken.core.launch.CodeChickenCorePlugin,,87,codechicken.core;codechicken.core.asm;codechicken.core.featurehack;codechicken.obfuscator;codechicken.core.launch;codechicken.core.gui;codechicken.core.featurehack.mc;codechicken.core.commands;codechicken.core.fluid;codechicken.core.internal;codechicken.core.inventory,codechickencore,,MODPACK_REFERENCE,UNKNOWN,P1,"PRIORITY_AUDIT_REASON=coremod/transformer indicator, metadata incomplete"
original_mods,original_mods/Coffin-Mod-1.7.10 (1).jar,Coffin-Mod-1.7.10 (1).jar,.jar,80316,902fb9c100b19457c5755817f94266a51838406182bb5a961d05d081e8b1f7fc,VALID,JAR,examplemod,Example Mod,1.7.10-1.0,1.7.10,,,NO,,,22,com.example;com.example.examplemod,coffin,,MODPACK_REFERENCE,UNKNOWN,P2,
original_mods,original_mods/Cosmetic-Wings-Mod-1.7.10 (1).jar,Cosmetic-Wings-Mod-1.7.10 (1).jar,.jar,145129,5fe5e7203b823885b6c506f1137ab9d1460b3413eb80d9856a2651a184f3b011,VALID,JAR,cosmeticWings,Cosmetic Wings,1.7.10-0.4.2.17,1.7.10,,,NO,,,71,riskyken.cosmeticWings;riskyken.cosmeticWings.client;riskyken.cosmeticWings.common;riskyken.cosmeticWings.client.gui;riskyken.cosmeticWings.common.wings;riskyken.cosmeticWings.client.render;riskyken.cosmeticWings.client.model;riskyken.cosmeticWings.common.network;riskyken.cosmeticWings.utils;riskyken.cosmeticWings.client.particles;riskyken.cosmeticWings.proxies;riskyken.cosmeticWings.common.lib,cosmeticwings,,MODPACK_REFERENCE,UNKNOWN,P2,
original_mods,original_mods/CountryGamer-Core-1.7.10.jar,CountryGamer-Core-1.7.10.jar,.jar,280267,6cc88a8a044477ebbe5d32f4a27f5e8ccaf6a956b18052721d2a72fbfaf0107f,VALID,JAR,cgo,CG Origin,1.7.10-3.0.0,1.7.10,,,NO,,,128,com.countrygamer;com.countrygamer.cgo;com.countrygamer.cgo.wrapper;com.countrygamer.cgo.common;com.countrygamer.cgo.client,cgo,,MODPACK_REFERENCE,UNKNOWN,P2,
original_mods,original_mods/CreativeCore v1.3.24 mc1.7.10.jar,CreativeCore v1.3.24 mc1.7.10.jar,.jar,265199,bcffd76d9fb29a3b6546c319be91e90624e54b0b5b77f53fba88dbe955ca8373,VALID,JAR,,,,,,,NO,,,144,com.creativemd;com.creativemd.creativecore;com.creativemd.creativecore.common;com.creativemd.creativecore.client;com.n247s;com.n247s.api;com.n247s.api.eventapi;com.creativemd.creativecore.lib;com.creativemd.creativecore.api;com.creativemd.creativecore.core,creativecore,,MODPACK_REFERENCE,UNKNOWN,P1,no mcmod.info or manifest metadata; PRIORITY_AUDIT_REASON=metadata incomplete
